Race No.,Time (s)
20,12694
2431,12963
10389,12995
2941,13071
13527,13073
4226,13183
2637,13313
3385,13314
2416,13318
11199,13396
9475,13450
9037,13595
5700,13623
4175,13702
10191,13808
41254,13814
11539,13819
10115,13854
7674,13881
3276,13908
8882,13968
8397,14015
2138,14019
6133,14050
1199,14054
3521,14056
10409,14077
7702,14081
17738,14094
8597,14103
16106,14103
9019,14141
3863,14202
9145,14225
4782,14237
3929,14246
6941,14279
19681,14286
2205,14287
5083,14300
3347,14357
6652,14416
27627,14421
18556,14432
4195,14447
19289,14465
4098,14466
1500,14482
4641,14482
11411,14488
4254,14532
7909,14533
9581,14534
12134,14551
7935,14566
3105,14568
7680,14598
9817,14604
21797,14618
4099,14650
27677,14653
3190,14656
3993,14702
2936,14711
17089,14753
22674,14758
35236,14762
6659,14772
28984,14783
9412,14787
7515,14787
9233,14792
7130,14813
1696,14843
18217,14868
11936,14869
3419,14885
29211,14889
6929,14890
13603,14950
3878,14975
6789,14976
13631,14985
5165,14999
8586,15011
17958,15032
18516,15035
8027,15036
2086,15041
15253,15042
35901,15046
35900,15047
35899,15049
1450,15054
4,15064
17673,15081
3286,15088
29612,15088
3365,15091
8619,15110
8328,15111
5601,15121
5950,15123
35012,15125
9639,15145
13362,15159
2484,15168
5924,15181
16499,15192
35875,15198
3177,15200
18009,15231
18010,15232
7772,15232
11379,15248
17622,15248
1918,15257
8883,15280
26291,15287
1612,15291
2570,15306
5263,15310
13642,15311
8060,15312
8861,15315
18212,15317
6831,15324
1264,15333
2147,15342
3775,15349
2708,15359
1763,15362
6511,15363
31171,15367
7694,15368
35219,15369
4528,15372
10130,15374
4993,15381
3075,15382
3822,15388
6489,15388
1734,15408
25564,15413
5682,15414
6939,15414
16561,15442
29096,15453
7554,15471
3161,15472
10439,15473
5017,15473
5928,15473
3147,15501
5372,15504
6181,15505
18322,15514
8537,15522
28840,15552
16774,15553
1426,15555
1337,15569
8275,15575
3760,15597
22146,15610
2269,15621
8488,15632
7509,15644
22960,15658
4121,15664
18211,15671
8071,15672
6407,15673
6229,15683
40811,15685
17674,15717
18643,15718
